Day,Hour,Temp,Dir,Spd
148,14,0.651877133,120,0.215686275
148,15,0.61774744,,
148,16,0.556313993,140,0.303921569
148,17,0.511945392,130,0.294117647
148,18,0.47440273,110,0.303921569
148,19,0.467576792,120,0.245098039
148,20,0.464163823,110,0.274509804
148,21,0.457337884,120,0.274509804
148,22,0.450511945,120,0.303921569
148,23,0.447098976,120,0.37254902
148,24,0.436860068,120,0.37254902
149,1,0.419795222,110,0.343137255
149,2,0.402730375,110,0.31372549
149,3,0.385665529,110,0.323529412
149,4,0.37883959,100,0.18627451
149,5,0.365187713,80,0.147058824
149,6,0.361774744,80,0.215686275
149,7,0.351535836,70,0.254901961
149,8,0.372013652,80,0.254901961
149,9,0.433447099,80,0.205882353
149,10,0.470989761,90,0.147058824
149,11,0.559726962,120,0.166666667
149,12,0.552901024,120,0.18627451
149,13,0.580204778,120,0.264705882
149,14,0.57337884,120,0.323529412
149,15,0.549488055,140,0.352941176
149,16,0.505119454,140,0.343137255
149,17,0.450511945,140,0.284313725
149,18,0.406143345,120,0.245098039
149,19,0.406143345,110,0.18627451
149,20,0.406143345,100,0.156862745
149,21,0.402730375,100,0.12745098
149,22,0.399317406,100,0.098039216
149,23,0.402730375,120,0.166666667
149,24,0.409556314,100,0.156862745
150,1,0.392491468,90,0.147058824
150,2,0.37883959,90,0.12745098
150,3,0.368600683,80,0.12745098
150,4,0.361774744,50,0.117647059
150,5,0.351535836,70,0.098039216
150,6,0.341296928,40,0.039215686
150,7,0.324232082,90,0
150,8,0.361774744,10,0
150,9,0.406143345,10,0.147058824
150,10,0.453924915,10,0.068627451
150,11,0.494880546,10,0.235294118
150,12,0.539249147,10,0.303921569
150,13,0.566552901,40,0.274509804
150,14,0.583617747,60,0.196078431
150,15,0.580204778,20,0.156862745
150,16,0.566552901,360,0.107843137
150,17,0.52559727,260,0.107843137
150,18,0.484641638,270,0.029411765
150,19,0.467576792,280,0.078431373
150,20,0.450511945,290,0.058823529
150,21,0.450511945,290,0
150,22,0.453924915,30,0.078431373
150,23,0.423208191,40,0.049019608
150,24,0.402730375,110,0.049019608
151,1,0.38225256,100,0.009803922
151,2,0.37883959,110,0
151,3,0.392491468,10,0
151,4,0.37883959,10,0.12745098
151,5,0.375426621,300,0
151,6,0.375426621,60,0
151,7,0.372013652,40,0.049019608
151,8,0.416382253,40,0.049019608
151,9,0.453924915,350,0.068627451
151,10,0.542662116,20,0.049019608
151,11,0.539249147,170,0.019607843
151,12,0.542662116,260,0.049019608
151,13,0.580204778,260,0.176470588
151,14,0.624573379,270,0.12745098
151,15,0.610921502,260,0.137254902
151,16,0.593856655,270,0.147058824
151,17,0.539249147,270,0.12745098
151,18,0.498293515,290,0.117647059
151,19,0.484641638,280,0.147058824
151,20,0.467576792,270,0.049019608
151,21,0.450511945,260,0
151,22,0.43003413,270,0
151,23,0.42662116,110,0.137254902
151,24,0.42662116,120,0.156862745
152,1,0.423208191,120,0.107843137
152,2,0.406143345,110,0.107843137
152,3,0.402730375,110,0.029411765
152,4,0.392491468,110,0
152,5,0.395904437,120,0.107843137
152,6,0.389078498,110,0.039215686
